# Proceso estable con causa asignable en filas 18-20 — viola Nelson Regla 1
x1,x2,x3,x4,x5
9.91,10.08,9.95,10.12,9.87
10.06,9.92,10.14,9.88,10.04
9.89,10.11,9.97,10.08,9.93
10.09,9.86,10.03,9.91,10.07
9.94,10.13,9.88,10.06,9.96
10.03,9.89,10.11,9.95,10.08
9.92,10.09,9.85,10.04,9.97
10.08,9.93,10.16,9.89,10.05
9.90,10.07,9.94,10.11,9.88
10.05,9.91,10.09,9.86,10.03
9.93,10.12,9.88,10.07,9.94
10.07,9.88,10.05,9.93,10.09
9.91,10.06,9.94,10.08,9.95
10.04,9.90,10.12,9.87,10.06
9.93,10.09,9.96,10.03,9.91
10.08,9.92,10.05,9.88,10.04
9.95,10.11,9.88,10.07,9.92
10.44,10.51,10.38,10.57,10.47
10.52,10.45,10.61,10.49,10.55
10.48,10.56,10.43,10.62,10.51
10.04,9.91,10.08,9.87,10.03
9.92,10.09,9.95,10.13,9.88
10.06,9.89,10.12,9.94,10.07
9.93,10.11,9.87,10.05,9.96
10.08,9.91,10.04,9.88,10.09
9.95,10.13,9.90,10.07,9.93
10.06,9.88,10.11,9.94,10.08
9.91,10.08,9.94,10.12,9.87
10.04,9.92,10.09,9.86,10.05
9.96,10.07,9.93,10.11,9.89
