# Proceso estable — sin violaciones Nelson — Cpk~1.45
x1,x2,x3,x4,x5
9.79,10.22,9.91,10.18,9.85
10.24,9.81,10.07,9.93,10.28
9.72,10.15,9.96,10.27,9.83
10.19,9.78,10.31,9.88,10.11
9.84,10.25,9.77,10.12,9.91
10.09,9.82,10.28,9.95,10.17
9.80,10.23,9.93,9.74,10.15
10.25,9.89,10.12,10.38,9.94
9.88,10.19,9.75,10.07,9.93
10.14,9.83,10.27,9.97,10.20
9.85,10.29,9.80,10.12,9.92
10.23,9.84,10.10,9.72,10.32
9.82,10.18,9.95,10.05,9.79
10.28,9.90,10.12,9.87,10.22
9.80,10.19,9.94,10.29,9.85
10.10,9.84,10.23,9.79,10.15
9.92,10.30,9.79,10.14,9.86
10.22,9.85,10.09,9.89,10.33
9.83,10.20,9.72,10.12,9.94
10.28,9.87,10.10,9.79,10.19
9.90,10.24,9.77,10.08,9.92
10.15,9.84,10.29,9.95,10.12
9.87,10.12,9.75,10.23,9.94
10.12,9.90,10.18,9.82,10.25
9.78,10.22,9.94,10.07,9.85
10.19,9.87,10.10,9.84,10.23
9.92,10.27,9.83,10.12,9.89
10.10,9.89,10.24,9.80,10.15
9.85,10.19,9.77,10.12,9.93
10.24,9.92,10.13,9.88,10.28
